Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,SolarHours,Class
0,10.42,10.42,20.84,190,3.1,11.5,0
0,0,10.42,10.42,230,7.7,3.4,0
0,0,0,0,180,5.7,12.4,0
0,0,0,0,20,2.1,0,0
0,0,0,0,170,3.6,9.1,0
0,0,0,0,120,2.1,0.7,0
0,0,0,0,210,2.6,12.3,0
0,0,0,0,260,2.6,11.5,0
0.49,0.49,0.49,1.47,230,11.8,9.4,0
0,0.49,0.49,0.98,180,1.5,11.6,0
0.49,0.49,0.49,1.47,170,2.6,5.3,0
0,0,0.98,0.98,360,4.1,6.4,0
0.49,0.49,0.49,1.47,320,2.6,10,0
0,0,0,0,40,2.6,12.1,0
0,0,2.45,2.45,10,2.6,0,0
0.53,0.53,0.53,1.59,50,2.6,1.8,0
0,0,0.53,0.53,240,1,10.5,0
0,0.53,0.53,1.06,360,3.6,9.1,0
31.26,32.85,36.56,100.67,250,4.1,0.4,0
0,0,1.59,1.59,190,3.1,7.7,0
0,0,0,0,140,1,11.3,0
0,0,0,0,40,4.1,10.7,0
0,3.14,19.92,23.06,180,5.1,1.7,0
4.71,4.71,7.86,17.28,210,6.7,9.4,0
0,0,0,0,250,7.7,8.5,0
2.61,2.61,3.13,8.35,300,6.2,2.8,0
0,0.75,3.36,4.11,260,7.2,8.9,0
0,0,0,0,270,6.7,4.9,0
0,0,0,0,160,1.5,10.6,0
0,0,0,0,220,2.1,10.3,0
0,0,0,0,90,7.2,1.7,0
35.16,64.12,64.12,163.4,230,2.6,6.1,1
0,0,35.16,35.16,60,3.1,13,1
0,0,0,0,290,2.6,12.5,0
0,0,1.41,1.41,150,2.1,7.8,0
0,0,0,0,150,4.6,9.2,0
0,0,0,0,160,4.6,1.7,0
0,0,0,0,100,5.1,4.5,1
0,0,0,0,90,3.6,7.8,0
0,0,0,0,280,6.2,7.2,0
0,0,0,0,150,1,5,1
0,0,0,0,220,6.2,8.4,0
0,0,3.91,3.91,160,1.5,10.3,0
0,0,0,0,130,2.6,7.1,0
3.5,12.5,12.5,28.5,140,0.5,8.9,0
5,6.5,27,38.5,80,3.1,1,0
0,0,0,0,140,2.1,7.2,0
0,0,0,0,200,6.7,8.8,0
0,7,10.5,17.5,210,6.7,2.4,1
0,0,0,0,120,1,12,0
18.5,18.5,18.5,55.5,140,6.7,0.5,1
0,0,0,0,220,4.1,11.3,0
0,20.5,43.5,64,180,3.1,11.1,0
0,0,0,0,140,4.6,8.8,0
1.01,1.51,71.36,73.88,100,3.6,2.5,1
0,7.25,9.26,16.51,220,2.6,12.6,0
0,0.52,0.52,1.04,310,4.1,0.2,0
0.52,0.52,0.52,1.56,350,5.7,0,0
0,3.63,5.7,9.33,130,2.1,10.7,0
0,0,0,0,150,1,0,0
5.5,5.5,8,19,220,5.1,0.7,0
3,4,4,11,220,7.2,8.7,0
0,0,1,1,290,3.1,10.1,0
3,3,3,9,100,1,0,1
3.2,3.2,3.2,9.6,130,3.1,10,0
0,0,1.06,1.06,130,3.1,10.3,0
12.76,12.76,12.76,38.28,360,1.5,0,1
0,0,0,0,10,1.5,1.5,0
4.79,10.64,10.64,26.07,300,2.6,8,1
8.52,11.36,12.49,32.37,330,4.1,7.4,0
0,0,0,0,10,5.7,3.4,1
0,0,0,0,10,4.6,7.1,0
6.17,6.17,7.2,19.54,330,5.1,5.5,0
2.05,4.62,6.68,13.35,220,4.1,0,1
4.5,10.5,16.5,31.5,300,4.1,11.9,1
0,0,0,0,110,3.1,11.9,0
1,1,1,3,10,1,10.1,0
0,0,0,0,100,3.1,5.4,1
0,4.57,6.1,10.67,130,4.1,6.4,1
0.51,3.56,11.7,15.77,50,1,10,0
0,0,3.27,3.27,170,1.5,10.2,0
0,0,0,0,179,1,9.3,0
0.55,0.55,0.55,1.65,64,3.7,0,1
0,0,6.55,6.55,27,0.8,7.5,1
0,0,0,0,108,0.8,1.5,0
4.5,4.5,5,14,197,6.3,7.5,1
0,0,0,0,237,2,1.2,0
0,0,0,0,325,1.1,9.5,1
2.11,2.11,2.11,6.33,257,3,0,0
15.31,15.31,15.31,45.93,23,3.4,0,0
12.15,13.73,23.23,49.11,122,2.6,0,1
0,2.4,2.4,4.8,163,2.9,12.3,0
0,0.6,0.6,1.2,315,2.8,5.8,0
0,1.5,1.5,3,234,6.6,7.6,0
0,19,19,38,148,4.3,0,0
0,0,23.5,23.5,119,2.5,10.5,0
0,0,0,0,77,1.8,4.8,0
0,0,2.91,2.91,156,2.6,9.6,1
0,0,0,0,289,1.2,11.3,0
0.97,2.93,21.03,24.93,235,5.8,8.5,0
15.66,15.66,15.66,46.98,255,3,10.5,0
0.49,0.49,0.49,1.47,265,7.8,3.3,1
0,0,5.87,5.87,232,3.5,6.7,1
0.51,0.51,1.53,2.55,62,1.8,1.7,0
9.66,16.27,16.27,42.2,248,0.9,3.5,1
0,0,0,0,344,2.1,5.1,0
0,1.01,1.01,2.02,210,9.2,8.4,0
0,0,0,0,140,1.3,10.8,0
0.51,0.51,0.51,1.53,94,2.9,3.9,0
0,0,0.53,0.53,194,4,12.6,1
0,0,0.54,0.54,9,0.2,10,0
0,0,7.48,7.48,155,2.1,10.9,0
0,0,4.81,4.81,155,2.1,9.6,0
0,0,0,0,155,2.1,11.7,0
13.5,15.66,16.2,45.36,155,2.1,7.4,0
0,0,0,0,102,1.6,7.8,0
0,0,0,0,186,4.2,10.4,0
0,0,0,0,311,2.2,9,0
0,0,0,0,221,9.1,7.7,1
0,1,6,7,305,1.7,12.1,0
0,0,0.5,0.5,150,4.4,12.4,1
0,0,0,0,60,7.7,5.1,0
3.89,8.88,19.21,31.98,309,3.2,6,0
1.66,1.66,1.66,4.98,51,2,11.9,1
0,0,0,0,331,3.2,7.3,0
6.37,58.55,58.55,123.47,43,5.8,2.3,1
1.37,1.37,1.37,4.11,68,2,5.4,1
2.3,2.3,2.3,6.9,354,5.8,6.1,0
0,0,0,0,216,8,10,1
0,0.46,0.46,0.92,295,0.8,8.7,0
0,0,0,0,192,2.4,7.5,0
0.92,0.92,1.38,3.22,177,2.3,9.3,1
0.91,5.5,14.22,20.63,210,3.2,11.2,0
2.27,24.12,24.12,50.51,284,3.1,3.4,0
2.28,6.83,15.02,24.13,229,7.8,6.5,0
0,61.45,61.45,122.9,340,0.8,9.5,1
1.36,52.8,52.8,106.96,13,1.5,7.6,1
22.76,22.76,22.76,68.28,34,2.4,3.1,1
25.49,39.15,39.15,103.79,273,2.9,5.2,1
0,1.06,18.05,19.11,104,0.5,9.4,0
0,0,4.61,4.61,213,4.9,6.4,1
19.94,19.94,19.94,59.82,285,8.9,4,1
8.18,8.18,12.78,29.14,292,6.6,11.5,0
0,0,0,0,250,5.3,12.2,0
0.5,0.5,0.5,1.5,162,2.4,12.8,0
0,0,0.5,0.5,234,6.2,11.5,0
11.5,13,21.5,46,310,3.4,5.1,1
14,16,16,46,309,4.5,3.3,0
0,0,0,0,218,5.5,1.2,0
0,0,0,0,285,2.4,1.5,1
0,6.5,32.5,39,256,1.5,12.3,0
1.5,1.5,1.5,4.5,73,4,8.2,0
0,0,0,0,217,3.2,13,0
0,0,0,0,163,1.6,6,0
2.79,2.79,2.79,8.37,152,1.5,0.8,0
0,0,0,0,81,1.9,8.8,0
42.93,44.04,44.04,131.01,320,4.2,4.5,1
0,0,0,0,180,0.6,7.2,0
0,0,0,0,93,3.6,4,0
0,0,0,0,237,3,8.7,0
13.54,13.54,13.54,40.62,203,3.5,8.6,1
0,0,0,0,115,1.6,8.2,0
0,0,0,0,203,6.7,6.6,1
0,0,0,0,158,2.5,9.3,0
0,1.56,3.12,4.68,61,6.6,0,0
2.34,2.34,2.34,7.02,23,4.4,1.3,0
0,0,0,0,331,3.6,0,0
0,0,0,0,273,0.5,10.4,0
4.22,9.38,9.38,22.98,21,8.5,5.1,1
0,0,0,0,226,7.4,8.5,0
0,0,0,0,122,4.5,11.3,0
4.91,5.4,7.36,17.67,330,2.5,8.4,0
0,0,0,0,110,1.1,6.8,1
0.49,10.79,16.18,27.46,227,5.1,10.3,0
0,8.33,28.94,37.27,45,0.9,8.8,1
0,0,0,0,352,1.3,6.5,0
0,0,0,0,111,1.4,11.6,0
0,0,0,0,91,1.6,2.8,0
0.5,17,17,34.5,202,5.2,6.6,0
0,0,0,0,138,2.5,10.9,0
1.5,20,42,63.5,49,3.6,1,1
9.63,9.63,9.63,28.89,256,8.2,6.8,0
0,0,0,0,209,2.1,8.9,0
0,1.55,3.61,5.16,214,5.5,1.7,0
0,18.05,26.82,44.87,248,2.8,9.7,0
0,4.65,5.16,9.81,325,2.3,9.6,0
2.06,11.86,11.86,25.78,209,6.7,7.6,0
0,5.12,9.21,14.33,226,7.3,11.6,0
56.31,56.31,56.31,168.93,207,4,1,0
5.12,11.26,11.26,27.64,247,6.9,4.8,1
0,0,0,0,199,2.3,13.6,0
1.02,1.02,1.02,3.06,132,1.7,13.2,0
0,1.03,2.05,3.08,128,1.8,9.4,0
0,0,0,0,147,1.9,4.7,0
0,0,0,0,84,1,10.1,0
4.34,11.92,11.92,28.18,307,2.3,4.3,0
0,0,0,0,126,0.6,2.1,0
0,2.71,3.25,5.96,42,1.3,9.1,1
0,0,0,0,62,1.8,0.3,0
0,0,0,0,118,2.2,8.9,0
4.94,5.39,5.39,15.72,114,1.4,8.7,0
0,0,0,0,346,0.5,6.7,0
0,0,0,0,38,0.3,11.3,0
0,0,0,0,143,2.1,3.8,0
2.69,2.69,2.69,8.07,243,5.3,2.7,0
0,0,0,0,99,1.9,8.6,0
0,2.38,10.72,13.1,199,1.9,5,0
0,0,0,0,271,0.7,10.7,0
0,1.61,1.61,3.22,204,3.2,9.3,0
0,13.35,13.35,26.7,200,3.8,10.6,0
0,11.93,17.81,29.74,337,4.5,4.8,0
0.52,10.37,10.37,21.26,185,3.1,12.2,0
0,0,0,0,56,4.2,7,0
0,0,0,0,321,4.3,10.1,0
5.71,10.38,10.38,26.47,224,9.2,6.7,1
0.52,6.22,92.85,99.59,214,3.8,6,0
0,1.03,1.03,2.06,236,5.4,7.1,0
0.55,0.55,0.55,1.65,209,3.7,1.2,0
7.1,7.1,7.1,21.3,84,2.7,0,1
14.19,14.19,14.19,42.57,198,3.6,6.8,0
5.46,5.46,5.46,16.38,3,4.2,0.6,0
0,0,0,0,195,0.9,8.1,0
0,0,0,0,59,2.3,7.6,1
0,37.63,38.16,75.79,151,1.5,5.1,0
0,0,0.53,0.53,202,1,10.4,0
3.71,23.32,23.85,50.88,227,7.6,5.9,1
0,0,0,0,215,1.6,3.5,0
0,0,0,0,268,2.4,4.5,1
0,0.47,4.24,4.71,106,0.6,7.8,0
0,0,5.18,5.18,38,7.1,1.4,0
52.23,52.23,52.23,156.69,58,11.6,3.7,1
0,0,0,0,234,7,6.7,0
36.56,36.56,36.56,109.68,25,4.3,0.4,0
5.23,5.7,5.7,16.63,178,1.2,0.9,1
0,9.02,11.87,20.89,8,0.8,5.6,0
16.14,16.14,16.14,48.42,104,1.9,0.8,0
3.85,3.85,3.85,11.55,63,4,0.2,0
0,0,0,0,93,1.2,2.3,1
12.34,20.23,20.23,52.8,7,5.7,3.2,0
0,0,0,0,147,1,10.8,0
9.87,39.97,53.79,103.63,166,1.5,0,1
1.48,1.48,1.48,4.44,215,5.9,10.3,1
0,0,0,0,308,1.2,5.6,0
1.48,1.48,1.48,4.44,57,8.8,0,0
0,0,0,0,178,1.3,10.7,1
0.47,2.81,3.75,7.03,158,2.9,9.6,1
0,0,1.88,1.88,326,3.4,5.7,0
0,3.29,13.14,16.43,218,2,6.9,1
0,0.47,3.28,3.75,228,9.6,5.5,1
0,0,1.41,1.41,86,0.8,4,0
0,0,0,0,68,0.7,5.6,0
6.56,8.91,8.91,24.38,358,2.9,3.5,0
3.28,9.85,22.52,35.65,28,2.6,3.8,1
1.05,2.1,2.1,5.25,302,2.3,9.2,0
13.11,32,32.53,77.64,233,14.2,8.3,0
4.72,4.72,4.72,14.16,30,7.1,0,0
0,0.52,0.52,1.04,214,7,12.3,0
0,0,1.59,1.59,278,2.6,3.2,1
0,0,0,0,26,2.6,12.5,0
0,0,1.06,1.06,265,5.7,1.3,1
0,4.76,4.76,9.52,198,4,13.3,0
0,0,0,0,250,5.1,3.9,0
1.06,3.7,4.23,8.99,232,7.6,4.2,0
0,2.5,2.5,5,248,7.7,7.1,0
0,0,1,1,256,4.6,5.7,0
0,0,1,1,305,3.5,1.4,0
0,0,0,0,307,2.7,5.4,0
0,0,0,0,202,5.3,0,0
0.5,5.5,7,13,163,2.5,4.2,0
0,0,0,0,191,2.2,8.5,0
0,0,0,0,108,1.1,4.5,0
32.5,50.5,50.5,133.5,229,4.8,9.9,1
0,0.49,0.49,0.98,340,1.5,8.4,0
0.96,2.4,10.11,13.47,5,2.8,3.5,1
0,3.42,8.32,11.74,13,1.5,9.5,0
0.49,1.96,14.7,17.15,71,1.6,4.7,1
8.5,8.5,8.5,25.5,230,5,9,0
12.5,13,13,38.5,307,3.5,4.1,1
14,14,18.5,46.5,240,4.7,2,1
6,28.5,33.5,68,270,5.6,5.5,1
44.5,47,47,138.5,54,6,4.7,1
0,14.2,14.2,28.4,216,2,11.5,0
0,0,14.2,14.2,272,4.2,3.4,0
0.6,0.6,0.6,1.8,206,3.5,12.4,0
0,0.6,0.6,1.2,25,2.2,0,0
0,0,0.6,0.6,191,3.6,9.1,0
0,0,0,0,205,2.3,0.7,0
0,0,0,0,211,2.9,12.3,0
0,0,0,0,269,2.4,11.5,0
1.2,1.2,1.2,3.6,236,6.6,9.4,0
0,1.2,1.2,2.4,195,1.9,11.6,0
0,0,0,0,189,2.8,5.3,0
0,0,0,0,4,1.6,6.4,0
0,0,0,0,290,3,10,0
0,0,0,0,37,2.4,12.1,0
2.2,12.4,12.4,27,113,1.3,0,0
0.8,1.4,3.6,5.8,72,2.9,1.8,0
0,0,0.8,0.8,270,2.1,10.5,0
0,0,0,0,25,2.1,9.1,0
12.8,13,23.6,49.4,13,1.7,0.4,0
0,0,0,0,241,2.3,7.7,0
0,0,0,0,216,0.8,11.3,0
0,0.4,0.4,0.8,34,3.3,10.7,0
0.2,1.2,18.8,20.2,221,3,1.7,0
4.4,4.6,4.8,13.8,234,3.1,9.4,0
0.4,0.4,0.4,1.2,262,5.2,8.5,0
0,0,0,0,291,2.4,7,0
0.6,0.6,0.6,1.8,277,3.5,2.8,0
0,0,0.6,0.6,235,4.3,8.9,0
0,0,0,0,211,0.3,8.5,0
0,0,0,0,114,2.7,11.5,0
0,0,2.58,2.58,206,2.8,11,0
0,0,0,0,218,2,8.1,0
0,0,0,0,223,2,1.9,0
2.07,2.07,2.07,6.21,81,1.5,0.4,0
1.03,15,17.07,33.1,83,4.2,2,0
0,0,1.03,1.03,163,3.8,11.6,0
0,0,0,0,161,1.8,12.8,0
0,0,0,0,240,0.9,12.5,0
0,0,0,0,133,2.3,10.2,0
0,0,0,0,71,4,10.3,0
0.5,0.5,0.5,1.5,89,3.7,0.5,0
0,0,0,0,102,3.6,1.7,0
0,0,0,0,50,3.4,1.6,0
0,0,0,0,313,1.5,4.2,0
0,0,0,0,61,2.9,7.9,0
8.96,9.45,9.45,27.86,23,2.2,0.1,0
14.43,42.8,51.76,108.99,40,0.5,1.3,0
0,14.43,42.8,57.23,55,2.4,0,0
6.96,8.95,8.95,24.86,96,2.2,4,1
0,0,0,0,200,3.1,6.9,0
0,0,0,0,144,0.8,4.3,0
0,0,0,0,36,2.8,2.9,0
0.49,1.99,1.99,4.47,23,4.6,1,0
