DATE,Entero,Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,Solarhours,BeachName,BeachType,BeachDirection,Entero_level,Wspeed_level,Wdirection_level,on_offshore
2016-02-10,10.0,0.0,0.0,0.0,0.0,183,2.2,9.9,Milford,0,2,0,1,8,0
2016-02-11,420.0,0.0,0.0,0.0,0.0,93,1.2,2.3,Weymouth,1,10,1,1,4,0
2016-02-16,10.0,0.5,0.5,0.5,1.5,63,4.4,0.5,Milford,0,2,0,1,3,1
2016-02-16,10.0,0.0,0.0,0.0,0.0,60,5.0,0.5,Clarks,1,15,0,1,3,2
2016-02-16,10.0,0.0,0.0,0.0,0.0,63,4.4,0.5,Judges_Bay,1,1,0,1,3,1
2016-02-16,10.0,0.0,0.52,0.52,1.04,63,4.4,2.9,Narrow_Neck,0,1,0,1,3,1
2016-02-18,140.0,12.34,20.23,20.23,52.8,7,5.7,3.2,Weymouth,1,10,0,1,0,0
2016-02-23,10.0,0.0,0.0,0.0,0.0,24,2.5,6.1,Clarks,1,15,0,1,1,1
2016-02-24,10.0,0.0,0.0,0.0,0.0,258,0.6,8.5,Narrow_Neck,0,1,0,1,11,0
2016-02-24,10.0,0.0,0.0,0.0,0.0,258,0.6,10.0,Judges_Bay,1,1,0,1,11,0
2016-02-24,240.0,0.0,0.0,0.0,0.0,147,1.0,10.8,Weymouth,1,10,0,1,7,2
2016-02-24,10.0,0.0,0.0,0.0,0.0,258,0.6,10.0,Milford,0,2,0,1,11,0
2016-03-01,10.0,18.78,61.69,77.78,158.25,166,1.5,1.0,Clarks,1,15,0,1,7,0
2016-03-01,120.0,7.78,25.41,58.09,91.28,201,0.9,1.0,Judges_Bay,1,1,0,1,9,0
2016-03-01,1800.0,9.87,39.97,53.79,103.63,166,1.5,0.0,Weymouth,1,10,1,1,7,2
2016-03-02,10.0,1.99,9.98,36.43,48.4,152,2.6,9.8,Milford,0,2,0,1,7,2
2016-03-02,10.0,4.92,20.16,39.33,64.41,152,2.6,7.5,Narrow_Neck,0,1,0,1,7,0
2016-03-09,390.0,1.48,1.48,1.48,4.4399999999999995,215,5.9,10.3,Weymouth,1,10,1,1,10,1
2016-03-09,10.0,1.0,1.0,1.0,3.0,211,2.1,9.5,Milford,0,2,0,1,9,0
2016-03-09,31.0,0.52,0.52,0.52,1.56,211,2.1,9.5,Judges_Bay,1,1,0,1,9,0
2016-03-09,52.0,0.0,0.0,0.0,0.0,211,2.1,9.8,Narrow_Neck,0,1,0,1,9,0
2016-03-09,10.0,1.61,1.61,1.61,4.83,215,5.9,9.5,Clarks,1,15,0,1,10,2
2016-03-15,230.0,0.0,0.0,0.0,0.0,230,0.8,5.1,Judges_Bay,1,1,0,1,10,0
2016-03-15,210.0,0.0,0.0,0.0,0.0,308,1.2,5.6,Weymouth,1,10,0,1,14,2
2016-03-15,10.0,0.0,0.0,0.0,0.0,230,0.8,6.9,Narrow_Neck,0,1,0,1,10,0
2016-03-15,10.0,0.0,0.0,0.0,0.0,230,0.8,5.1,Milford,0,2,0,1,10,0
2016-03-15,31.0,0.0,0.0,0.0,0.0,308,1.2,5.1,Clarks,1,15,0,1,14,1
2016-03-17,10.0,0.96,1.92,1.92,4.8,141,1.0,0.0,Judges_Bay,1,1,0,1,6,2
2016-03-22,41.0,0.97,0.97,2.44,4.38,77,5.1,3.1,Milford,0,2,0,1,3,1
2016-03-22,31.0,0.98,0.98,4.91,6.87,77,5.1,6.7,Narrow_Neck,0,1,0,1,3,1
2016-03-23,52.0,1.48,1.48,1.48,4.4399999999999995,57,8.8,0.0,Weymouth,1,10,0,2,3,0
2016-03-23,2300.0,0.0,0.0,0.0,0.0,57,8.8,0.1,Clarks,1,15,1,2,3,2
2016-03-23,230.0,1.92,4.32,4.32,10.559999999999999,64,7.6,0.1,Judges_Bay,1,1,0,1,3,1
2016-03-25,20.0,0.0,8.49,8.49,16.98,204,1.0,3.0,Clarks,1,15,0,1,9,0
2016-03-29,10.0,0.0,0.53,0.53,1.06,178,1.3,10.2,Clarks,1,15,0,1,8,0
2016-03-29,310.0,0.0,0.0,0.0,0.0,178,1.3,10.7,Weymouth,1,10,1,1,8,1
2016-03-29,10.0,0.0,0.49,0.49,0.98,224,0.9,9.7,Narrow_Neck,0,1,0,1,10,0
2016-03-29,41.0,0.0,0.0,0.0,0.0,224,0.9,10.2,Milford,0,2,0,1,10,0
2016-03-29,10.0,0.0,0.0,0.0,0.0,224,0.9,10.2,Judges_Bay,1,1,0,1,10,0
2016-04-05,750.0,0.47,2.8099999999999996,3.7499999999999996,7.029999999999999,158,2.9,9.6,Weymouth,1,10,1,1,7,2
2016-04-12,41.0,0.0,0.0,1.88,1.88,326,3.4,5.7,Weymouth,1,10,0,1,14,2
2016-04-19,500.0,0.0,3.29,13.14,16.43,218,2.0,6.9,Weymouth,1,10,1,1,10,1
2016-04-26,16000.0,0.0,0.47,3.2800000000000002,3.75,228,9.6,5.5,Weymouth,1,10,1,2,10,1
2016-05-04,130.0,0.0,0.0,1.41,1.41,86,0.8,4.0,Weymouth,1,10,0,1,4,0
2016-05-10,200.0,0.0,0.0,0.0,0.0,68,0.7,5.6,Weymouth,1,10,0,1,3,0
2016-05-18,180.0,6.56,8.91,8.91,24.38,358,2.9,3.5,Weymouth,1,10,0,1,0,0
2016-05-25,1100.0,3.28,9.85,22.52,35.65,28,2.6,3.8,Weymouth,1,10,1,1,1,0
2016-11-01,10.0,1.05,2.1,2.1,5.25,302,2.3,9.2,Weymouth,1,10,0,1,13,2
2016-11-02,10.0,1.06,1.06,2.13,4.25,328,5.5,9.2,Clarks,1,15,0,1,15,1
2016-11-02,20.0,0.0,1.0,1.5,2.5,311,2.2,7.9,Narrow_Neck,0,1,0,1,14,2
2016-11-02,4900.0,0.0,6.17,6.17,12.34,311,2.2,9.2,Judges_Bay,1,1,1,1,14,2
2016-11-02,10.0,0.48,1.93,3.38,5.79,311,2.2,9.2,Milford,0,2,0,1,14,2
2016-11-04,10.0,0.51,0.51,0.51,1.53,237,2.6,5.7,Judges_Bay,1,1,0,1,11,0
2016-11-08,41.0,13.11,32.0,32.53,77.64,233,14.2,8.3,Weymouth,1,10,0,2,10,1
2016-11-09,10.0,0.0,6.17,24.67,30.84,212,2.5,10.5,Judges_Bay,1,1,0,1,9,0
2016-11-09,10.0,0.0,15.44,33.53,48.97,221,6.1,10.5,Clarks,1,15,0,1,10,2
2016-11-09,10.0,0.0,13.53,34.3,47.83,212,2.5,10.5,Milford,0,2,0,1,9,0
2016-11-09,31.0,0.0,8.53,31.619999999999997,40.15,212,2.5,11.7,Narrow_Neck,0,1,0,1,9,0
2016-11-15,52.0,4.72,4.72,4.72,14.16,30,7.1,0.0,Weymouth,1,10,0,1,1,0
2016-11-16,910.0,8.23,11.31,11.31,30.85,263,3.4,6.2,Judges_Bay,1,1,1,1,12,2
2016-11-16,31.0,9.39,10.39,10.39,30.17,263,3.4,8.0,Narrow_Neck,0,1,0,1,12,2
2016-11-16,540.0,5.85,13.3,13.3,32.449999999999996,271,5.5,6.2,Clarks,1,15,1,1,12,2
2016-11-16,10.0,9.17,10.62,10.62,30.409999999999997,263,3.4,6.2,Milford,0,2,0,1,12,0
2016-11-18,10.0,6.17,23.64,31.87,61.67999999999999,169,2.1,7.4,Judges_Bay,1,1,0,1,8,0
2016-11-18,10.0,5.33,19.7,25.549999999999997,50.58,176,2.6,7.4,Clarks,1,15,0,1,8,0
2016-11-21,160.0,0.0,0.52,0.52,1.04,214,7.0,12.3,Weymouth,1,10,0,1,10,1
2016-11-22,10.0,0.0,0.0,0.48,0.48,210,2.5,11.8,Milford,0,2,0,1,9,0
2016-11-22,10.0,0.0,0.0,0.49,0.49,210,2.5,13.0,Narrow_Neck,0,1,0,1,9,0
2016-11-22,10.0,0.0,0.0,0.51,0.51,210,2.5,11.8,Judges_Bay,1,1,0,1,9,0
2016-11-22,10.0,0.0,0.0,0.53,0.53,216,5.9,11.8,Clarks,1,15,0,1,10,2
2016-11-30,10.0,0.0,0.0,1.93,1.93,265,1.3,1.0,Milford,0,2,0,1,12,0
2016-11-30,10.0,0.0,0.0,1.98,1.98,265,1.3,3.8,Narrow_Neck,0,1,0,1,12,2
2016-11-30,10.0,0.0,0.53,4.26,4.79,278,2.6,1.0,Clarks,1,15,0,1,12,2
2016-11-30,1100.0,0.0,0.0,1.59,1.59,278,2.6,3.2,Weymouth,1,10,1,1,12,1
2016-11-30,10.0,0.0,0.0,4.63,4.63,265,1.3,1.0,Judges_Bay,1,1,0,1,12,2
2016-12-06,10.0,0.0,0.0,0.0,0.0,26,2.6,11.0,Clarks,1,15,0,1,1,1
2016-12-06,10.0,0.0,0.0,0.0,0.0,26,2.6,12.5,Weymouth,1,10,0,1,1,0
2016-12-06,10.0,0.0,0.0,0.0,0.0,43,2.2,11.0,Judges_Bay,1,1,0,1,2,1
2016-12-06,10.0,0.0,0.0,0.0,0.0,43,2.2,11.0,Milford,0,2,0,1,2,1
2016-12-06,10.0,0.0,0.0,0.0,0.0,43,2.2,13.2,Narrow_Neck,0,1,0,1,2,1
2016-12-14,10.0,0.0,0.0,2.46,2.46,258,3.1,5.8,Milford,0,2,0,1,11,0
2016-12-14,10.0,0.0,0.48,0.48,0.96,258,3.1,2.6,Narrow_Neck,0,1,0,1,11,0
2016-12-14,20.0,0.0,0.49,0.98,1.47,258,3.1,5.8,Judges_Bay,1,1,0,1,11,0
2016-12-14,20000.0,0.0,0.0,1.06,1.06,265,5.7,1.3,Weymouth,1,10,1,1,12,1
2016-12-14,860.0,0.0,0.0,7.65,7.65,265,5.7,5.8,Clarks,1,15,1,1,12,2
