DATE,Entero,Rain24,Rain48,Rain72,RainWA,Wdirection,Wspeed,Solarhours,BeachName,BeachType,BeachDirection,Entero_level,Wspeed_level,Wdirection_level,on_offshore
1995-12-16,10.0,9.17,13.67,37.0,59.839999999999996,200,1.5,1.8,Clarks,1,15,0,1,9,0
1995-12-16,10.0,0.0,22.66,26.14,48.8,198,1.8,1.8,Milford,0,2,0,1,9,0
1995-12-16,14.0,0.17,23.200000000000003,29.470000000000002,52.84,198,1.8,1.8,Judges_Bay,1,1,0,1,9,0
1995-12-27,10.0,0.0,2.91,4.65,7.5600000000000005,264,4.0,8.5,Milford,0,2,0,1,12,0
1995-12-27,10.0,0.0,0.0,0.33,0.33,230,5.7,8.5,Clarks,1,15,0,1,10,2
1995-12-27,10.0,0.58,3.54,5.66,9.780000000000001,264,4.0,8.5,Judges_Bay,1,1,0,1,12,2
1995-12-28,32.0,0.0,0.58,3.54,4.12,293,2.9,11.7,Judges_Bay,1,1,0,1,13,2
1995-12-28,10.0,2.5,2.5,2.5,7.5,320,3.6,11.7,Clarks,1,15,0,1,14,1
1995-12-28,10.0,0.0,0.0,2.91,2.91,293,2.9,11.7,Milford,0,2,0,1,13,2
1996-01-07,10.0,0.0,0.0,0.0,0.0,98,3.2,7.9,Judges_Bay,1,1,0,1,4,2
1996-01-07,10.0,0.0,0.0,0.0,0.0,130,4.1,7.9,Clarks,1,15,0,1,6,0
1996-01-07,10.0,0.0,0.0,0.0,0.0,98,3.2,7.9,Milford,0,2,0,1,4,1
1996-01-08,10.0,0.0,0.0,0.0,0.0,77,3.7,4.4,Judges_Bay,1,1,0,1,3,1
1996-01-08,10.0,0.0,0.0,0.0,0.0,100,3.6,4.4,Clarks,1,15,0,1,4,2
1996-01-08,44.0,0.0,0.0,0.0,0.0,77,3.7,4.4,Milford,0,2,0,1,3,1
1996-01-12,10.0,0.0,0.0,0.0,0.0,41,3.4,0.0,Milford,0,2,0,1,2,1
1996-01-12,10.0,0.0,0.0,0.0,0.0,41,3.4,0.0,Judges_Bay,1,1,0,1,2,1
1996-01-12,10.0,17.67,23.17,23.17,64.01,30,3.6,0.0,Clarks,1,15,0,1,1,1
1996-01-23,13.0,0.0,0.0,0.0,0.0,146,2.5,7.0,Milford,0,2,0,1,6,2
1996-01-23,10.0,0.0,0.0,0.0,0.0,140,3.1,7.0,Clarks,1,15,0,1,6,0
1996-01-23,10.0,0.0,0.0,4.67,4.67,146,2.5,7.0,Judges_Bay,1,1,0,1,6,2
1996-01-24,12.0,0.0,0.0,0.0,0.0,236,2.7,11.6,Judges_Bay,1,1,0,1,10,0
1996-01-24,134.0,0.0,0.0,0.0,0.0,236,2.7,11.6,Milford,0,2,0,1,10,0
1996-01-24,10.0,0.0,0.0,0.0,0.0,180,1.5,11.6,Clarks,1,15,0,1,8,0
1996-01-25,10.0,0.0,0.0,0.0,0.0,168,4.4,11.8,Judges_Bay,1,1,0,1,7,0
1996-01-25,10.0,0.0,0.0,0.0,0.0,150,6.2,11.8,Clarks,1,15,0,1,7,0
1996-01-25,15.0,0.0,0.0,0.0,0.0,168,4.4,11.8,Milford,0,2,0,1,7,2
1996-01-26,30.0,0.0,0.0,0.0,0.0,181,3.9,8.4,Judges_Bay,1,1,0,1,8,0
1996-01-26,10.0,0.0,0.0,0.0,0.0,210,4.1,8.4,Clarks,1,15,0,1,9,0
1996-01-26,10.0,0.0,0.0,0.0,0.0,181,3.9,8.4,Milford,0,2,0,1,8,0
1996-01-28,10.0,0.0,0.0,0.0,0.0,213,3.7,9.9,Judges_Bay,1,1,0,1,9,0
1996-01-28,10.0,0.0,0.0,0.0,0.0,210,4.1,9.9,Clarks,1,15,0,1,9,0
1996-01-28,10.0,0.0,0.0,0.0,0.0,213,3.7,9.9,Milford,0,2,0,1,9,0
1996-02-07,10.0,0.35,0.35,0.35,1.0499999999999998,3,1.5,5.9,Judges_Bay,1,1,0,1,0,1
1996-02-07,10.0,7.0,7.83,7.83,22.66,10,4.6,5.9,Clarks,1,15,0,1,0,1
1996-02-07,10.0,0.61,0.61,0.61,1.83,3,1.5,5.9,Milford,0,2,0,1,0,1
1996-02-10,10.0,0.0,2.1,14.04,16.14,121,1.5,4.2,Judges_Bay,1,1,0,1,5,2
1996-02-10,76.0,0.0,0.0,10.67,10.67,110,2.1,4.2,Clarks,1,15,0,1,5,0
1996-02-10,300.0,0.0,1.22,16.46,17.68,121,1.5,4.2,Milford,0,2,1,1,5,2
1996-02-12,10.0,0.67,1.0,1.0,2.6700000000000004,30,6.2,9.9,Clarks,1,15,0,1,1,1
1996-02-12,10.0,0.0,0.0,0.0,0.0,22,2.9,9.9,Judges_Bay,1,1,0,1,1,1
1996-02-12,10.0,0.0,0.0,0.0,0.0,22,2.9,9.9,Milford,0,2,0,1,1,1
1996-02-21,10.0,7.0,7.67,16.67,31.34,160,3.1,0.9,Clarks,1,15,0,1,7,0
1996-02-21,10.0,0.0,9.89,12.030000000000001,21.92,202,2.2,0.9,Judges_Bay,1,1,0,1,9,0
1996-02-21,23.0,0.0,2.44,3.66,6.1,202,2.2,0.9,Milford,0,2,0,1,9,0
1996-02-24,10.0,0.0,4.88,15.850000000000001,20.73,156,3.0,8.1,Milford,0,2,0,1,7,2
1996-02-24,10.0,0.0,0.0,14.0,14.0,140,2.6,8.1,Clarks,1,15,0,1,6,0
1996-02-24,10.0,0.0,3.45,17.11,20.560000000000002,156,3.0,8.1,Judges_Bay,1,1,0,1,7,0
1996-02-25,10.0,0.0,0.0,3.45,3.45,143,2.5,6.7,Judges_Bay,1,1,0,1,6,2
1996-02-25,10.0,0.0,0.0,4.88,4.88,143,2.5,6.7,Milford,0,2,0,1,6,2
1996-02-25,10.0,0.0,0.0,0.0,0.0,140,5.7,6.7,Clarks,1,15,0,1,6,0
1996-02-27,10.0,0.0,0.0,0.0,0.0,198,2.4,8.0,Milford,0,2,0,1,9,0
1996-02-27,10.0,0.0,0.0,0.0,0.0,140,2.6,8.0,Clarks,1,15,0,1,6,0
1996-02-27,10.0,0.0,0.0,0.0,0.0,198,2.4,8.0,Judges_Bay,1,1,0,1,9,0
1996-03-07,10.0,0.0,0.49,0.49,0.98,197,2.4,6.9,Milford,0,2,0,1,9,0
1996-03-07,10.0,0.0,0.0,0.0,0.0,140,4.1,6.9,Clarks,1,15,0,1,6,0
1996-03-07,10.0,0.0,2.93,2.93,5.86,197,2.4,6.9,Judges_Bay,1,1,0,1,9,0
1996-03-09,10.0,0.83,0.83,0.83,2.4899999999999998,100,0.5,5.8,Clarks,1,15,0,1,4,2
1996-03-09,10.0,0.0,0.0,0.0,0.0,269,2.2,5.8,Milford,0,2,0,1,12,0
1996-03-09,53.0,0.0,0.0,0.0,0.0,269,2.2,5.8,Judges_Bay,1,1,0,1,12,2
1996-03-11,30.0,0.04,2.11,2.11,4.26,191,4.0,2.0,Judges_Bay,1,1,0,1,8,0
1996-03-11,10.0,0.0,1.67,2.5,4.17,160,5.1,2.0,Clarks,1,15,0,1,7,0
1996-03-11,10.0,0.0,0.49,0.49,0.98,191,4.0,2.0,Milford,0,2,0,1,8,0
1996-03-13,10.0,0.0,0.0,0.04,0.04,253,1.0,8.7,Judges_Bay,1,1,0,1,11,0
1996-03-13,10.0,0.0,0.0,0.0,0.0,253,1.0,8.7,Milford,0,2,0,1,11,0
1996-03-13,10.0,0.0,0.0,0.0,0.0,70,1.0,8.7,Clarks,1,15,0,1,3,2
1996-03-24,10.0,0.23,8.97,14.760000000000002,23.96,205,3.0,8.6,Judges_Bay,1,1,0,1,9,0
1996-03-24,10.0,0.67,2.34,13.67,16.68,150,3.6,8.6,Clarks,1,15,0,1,7,0
1996-03-24,10.0,0.0,5.39,8.33,13.719999999999999,205,3.0,8.6,Milford,0,2,0,1,9,0
1996-03-25,10.0,0.0,0.23,8.97,9.200000000000001,207,0.7,7.8,Judges_Bay,1,1,0,1,9,0
1996-03-25,10.0,0.0,0.0,5.39,5.39,207,0.7,7.8,Milford,0,2,0,1,9,0
1996-03-25,10.0,0.0,0.67,2.34,3.01,0,0.0,7.8,Clarks,1,15,0,0,0,1
1996-03-28,10.0,0.1,10.73,10.860000000000001,21.69,45,4.8,7.7,Judges_Bay,1,1,0,1,2,1
1996-03-28,10.0,0.0,0.0,0.0,0.0,50,3.6,7.7,Clarks,1,15,0,1,2,2
1996-03-28,10.0,0.0,14.69,14.69,29.38,45,4.8,7.7,Milford,0,2,0,1,2,1
1996-12-03,10.0,4.17,9.309999999999999,49.06999999999999,62.55,344,1.1,0.2,Judges_Bay,1,1,0,1,15,1
1996-12-03,15.0,0.0,4.31,81.19,85.5,344,1.1,0.2,Milford,0,2,0,1,15,2
1996-12-03,10.0,12.83,19.16,33.16,65.15,350,4.1,0.2,Clarks,1,15,0,1,0,1
1996-12-13,10.0,14.67,19.67,20.0,54.339999999999996,150,2.6,0.2,Clarks,1,15,0,1,7,0
1996-12-13,10.0,2.32,2.32,5.18,9.819999999999999,140,1.9,0.2,Judges_Bay,1,1,0,1,6,2
1996-12-13,10.0,2.12,2.12,5.83,10.07,140,1.9,0.2,Milford,0,2,0,1,6,2
1996-12-17,10.0,0.0,0.33,1.83,2.16,270,5.1,5.3,Clarks,1,15,0,1,12,2
1996-12-17,10.0,0.0,0.21,0.25,0.45999999999999996,242,1.6,5.3,Judges_Bay,1,1,0,1,11,0
1996-12-17,10.0,0.0,0.0,0.0,0.0,242,1.6,5.3,Milford,0,2,0,1,11,0
1996-12-27,10.0,0.0,0.0,0.0,0.0,60,4.6,2.4,Clarks,1,15,0,1,3,2
1996-12-27,72.0,0.0,0.0,0.0,0.0,73,4.4,2.4,Milford,0,2,0,1,3,1
1997-01-02,46.0,0.72,0.72,13.98,15.42,46,2.3,3.5,Judges_Bay,1,1,0,1,2,1
1997-01-02,10.0,0.33,1.83,2.5,4.66,40,2.6,3.5,Clarks,1,15,0,1,2,2
1997-01-02,11.0,0.0,0.0,14.84,14.84,46,2.3,3.5,Milford,0,2,0,1,2,1
1997-01-12,55.0,0.5,8.32,10.09,18.91,277,3.0,3.5,Judges_Bay,1,1,0,1,12,2
1997-01-12,12.0,0.0,2.33,7.16,9.49,250,6.7,3.5,Clarks,1,15,0,1,11,2
1997-01-12,10.0,0.71,6.39,8.52,15.619999999999997,277,3.0,3.5,Milford,0,2,0,1,12,0
1997-01-14,10.0,0.0,0.0,0.5,0.5,335,1.0,3.5,Judges_Bay,1,1,0,1,15,1
1997-01-14,10.0,3.33,4.0,4.0,11.33,30,2.1,3.5,Clarks,1,15,0,1,1,1
1997-01-14,10.0,0.0,0.0,0.71,0.71,335,1.0,3.5,Milford,0,2,0,1,15,2
1997-01-15,10.0,4.0,7.33,8.0,19.330000000000002,130,2.1,3.5,Clarks,1,15,0,1,6,0
1997-01-15,10.0,0.0,0.0,0.0,0.0,152,2.2,3.5,Milford,0,2,0,1,7,2
1997-01-15,10.0,0.29,0.29,0.29,0.8699999999999999,152,2.2,3.5,Judges_Bay,1,1,0,1,7,0
1997-01-16,10.0,0.83,4.83,8.16,13.82,160,3.1,3.5,Clarks,1,15,0,1,7,0
1997-01-16,16.0,0.0,0.0,0.0,0.0,177,2.1,3.5,Milford,0,2,0,1,8,0
1997-01-16,10.0,0.83,1.1199999999999999,1.1199999999999999,3.07,177,2.1,3.5,Judges_Bay,1,1,0,1,8,0
1997-01-24,10.0,0.0,0.0,0.0,0.0,20,3.6,3.5,Clarks,1,15,0,1,1,1
1997-01-24,10.0,0.71,0.71,0.71,2.13,16,2.8,3.5,Milford,0,2,0,1,1,1
1997-01-24,10.0,0.39,0.39,0.39,1.17,16,2.8,3.5,Judges_Bay,1,1,0,1,1,1
1997-01-26,10.0,0.0,0.0,0.0,0.0,170,3.6,3.5,Clarks,1,15,0,1,8,0
1997-01-26,10.0,0.0,0.0,0.39,0.39,179,3.2,3.5,Judges_Bay,1,1,0,1,8,0
1997-01-26,10.0,0.0,0.0,0.71,0.71,179,3.2,3.5,Milford,0,2,0,1,8,0
1997-01-27,10.0,0.0,0.0,0.0,0.0,145,3.0,3.5,Judges_Bay,1,1,0,1,6,2
1997-01-27,360.0,0.0,0.0,0.0,0.0,145,3.0,3.5,Milford,0,2,1,1,6,2
