,Rain24,Rain48,Rain72,Solarhours,BeachType,Wspeed_level,Wdirection_level,on_offshore,Entero_level
0,9.17,13.67,37.0,1.8,1,1,9,0,0
1469,0.0,22.66,26.14,1.8,0,1,9,0,0
723,0.17,23.200000000000003,29.47,1.8,1,1,9,0,0
1470,0.0,2.91,4.65,8.5,0,1,12,0,0
1,0.0,0.0,0.33,8.5,1,1,10,2,0
724,0.58,3.54,5.66,8.5,1,1,12,2,0
725,0.0,0.58,3.54,11.7,1,1,13,2,0
2,2.5,2.5,2.5,11.7,1,1,14,1,0
1471,0.0,0.0,2.91,11.7,0,1,13,2,0
726,0.0,0.0,0.0,7.9,1,1,4,2,0
3,0.0,0.0,0.0,7.9,1,1,6,0,0
1472,0.0,0.0,0.0,7.9,0,1,4,1,0
727,0.0,0.0,0.0,4.4,1,1,3,1,0
4,0.0,0.0,0.0,4.4,1,1,4,2,0
1473,0.0,0.0,0.0,4.4,0,1,3,1,0
1474,0.0,0.0,0.0,0.0,0,1,2,1,0
728,0.0,0.0,0.0,0.0,1,1,2,1,0
5,17.67,23.17,23.17,0.0,1,1,1,1,0
1475,0.0,0.0,0.0,7.0,0,1,6,2,0
6,0.0,0.0,0.0,7.0,1,1,6,0,0
729,0.0,0.0,4.67,7.0,1,1,6,2,0
730,0.0,0.0,0.0,11.6,1,1,10,0,0
1476,0.0,0.0,0.0,11.6,0,1,10,0,0
7,0.0,0.0,0.0,11.6,1,1,8,0,0
731,0.0,0.0,0.0,11.8,1,1,7,0,0
8,0.0,0.0,0.0,11.8,1,1,7,0,0
1477,0.0,0.0,0.0,11.8,0,1,7,2,0
732,0.0,0.0,0.0,8.4,1,1,8,0,0
9,0.0,0.0,0.0,8.4,1,1,9,0,0
1478,0.0,0.0,0.0,8.4,0,1,8,0,0
733,0.0,0.0,0.0,9.9,1,1,9,0,0
10,0.0,0.0,0.0,9.9,1,1,9,0,0
1479,0.0,0.0,0.0,9.9,0,1,9,0,0
734,0.35,0.35,0.35,5.9,1,1,0,1,0
11,7.0,7.83,7.83,5.9,1,1,0,1,0
